688,5,5,  1,  1.157
231027,186602,5,5,  6,  2.248
231027,234281,5,5,  7,  1.860
231027,239134,5,5,  1,  0.164
231028,145985,5,5,  1,  0.151
231029,124967,5,5,  1,  0.111
231030,110003,5,5,  1,  0.233
231030,188275,5,5,  2,  0.589
231031,231034,5,5,  1,  0.331
231032, 40123,5,5,  1,  0.360
231033,231032,5,5,  1,  0.241
231034,113939,5,5,  1,  0.231
231035,  4900,5,5,  2,  1.053
231035, 25395,5,5,  3,  0.728
231036, 82840,5,5,  1,  0.252
231037,158047,5,5,  1,  0.144
231038,158047,5,5,  1,  0.228
231038,250848,5,5,  1,  0.160
231039,  9930,5,5,  1,  0.303
231040, 66999,5,5,  4,  1.413
231040,186835,5,5,  1,  1.336
231040,186837,5,5,  5,  1.693
231041, 13944,5,5,  1,  0.362
231041,186837,5,5,  5,  2.966
231042, 70807,5,5,  1,  0.409
231043,231044,5,5,  1,  0.214
231044,231047,5,5,  1,  0.470
231044,231048,5,5,  1,  0.314
231044,240854,5,5,  1,  0.357
231045,231049,5,5,  1,  0.255
231046,105897,5,5,  1,  0.334
231047,203292,5,5,  3,  0.523
231047,207695,5,5,  1,  0.222
231048, 29943,5,5,  1,  0.535
231049,231048,5,5,  1,  0.196
231050,129672,5,5,  1,  0.343
231051,207899,5,5,  1,  0.266
231052, 99129,5,5,  1,  0.675
231052,214546,5,5,  1,  0.401
231052,217415,5,5,  1,  0.289
231052,240894,5,5,  1,  0.304
231053, 77831,5,5,  1,  0.271
231053, 77833,5,5,  1,  0.337
231054,231078,5,5,  1,  0.397
231055,227315,5,5,  1,  0.255
231056, 69132,5,5,  1,  0.107
231057, 89620,5,5,  1,  0.213
231058,231059,5,5,  2,  0.534
231059,221459,5,5,  1,  0.198
231060,115997,5,5,  1,  0.424
231061,231062,5,5,  1,  0.245
231062, 72884,5,5,  1,  0.557
231063,231060,5,5,  1,  0.296
231064, 76480,5,5,  1,  0.260
231065, 76479,5,5,  1,  0.329
231066,231068,5,5,  1,  0.574
231067,201947,5,5,  1,  1.158
231067,201949,5,5,  1,  0.431
231068,171138,5,5,  4,  3.675
231069, 76492,5,5,  3,  3.645
231070, 84368,5,5,  2,  1.082
231071,231072,5,5,  2,  1.473
231072,221467,5,5,  5,  3.110
231073,231070,5,5,  1,  1.478
231074, 78836,5,5,  1,  0.164
231075,231050,5,5,  1,  0.336
231076,239199,5,5,  1,  0.253
231077,178464,5,5,  1,  0.589
231077,239199,5,5,  1,  0.247
231078,257101,5,5,  1,  0.158
231078,257103,5,5,  1,  0.150
231079,143655,5,5,  3,  1.545
231080,237595,5,5,  1,  0.346
231081,180692,5,5,  1,  0.379
231082,141397,5,5,  1,  0.253
231083,  1176,5,5,  1,  0.377
231083,250804,5,5,  1,  0.317
231084, 16580,5,5,  2,  3.192
231085, 94868,5,5,  1,  0.252
231086, 79755,5,5,  2,  0.895
231086,146528,5,5,  1,  0.877
231086,230810,5,5,  2,  0.728
231087, 76597,5,5,  1,  0.154
231088,192383,5,5,  1,  0.334
231088,201840,5,5,  1,  0.161
231088,201841,5,5,  1,  0.715
231088,255765,5,5,  2,  1.791
231089,207689,5,5,  1,  0.320
231090,239217,5,5,  2,  0.150
231091, 53939,5,5,  1,  0.344
231091, 92304,5,5,  2,  0.901
231092, 53941,5,5,  1,  0.521
231092,188692,5,5,  1,  0.442
231093, 69846,5,5,  2,  1.202
231094, 58336,5,5,  1,  0.445
231095,231096,5,5,  2,  2.827
231096, 27996,5,5,  1,  0.885
231097,102981,5,5,  1,  0.066
231097,211208,5,5,  1,  0.343
231098,155780,5,5,  1,  0.159
231099,188770,5,5,  1,  0.366
231100,255938,5,5,  1,  0.139
231101, 79591,5,5,  1,  0.308
231102, 13700,5,5,  1,  0.834
231103,164193,5,5,  2,  0.921
231104, 93414,5,5,  1,  0.414
231104,256004,5,5,  1,  0.212
231105,221499,5,5,  1,  0.210
231106, 81096,5,5,  1,  0.301
231106,102968,5,5,  1,  0.238
231106,128516,5,5,  4,  0.875
231106,167466,5,5,  1,  0.329
231107,236624,5,5,  1,  0.166
231108,135244,5,5,  1,  0.238
231109,181460,5,5,  1,  0.754
231110,217199,5,5,  3,  1.793
231111,124006,5,5,  1,  0.392
231112,152533,5,5,  8,  0.174
231112,179924,5,5,  1,  0.253
231113,135232,5,5,  1,  0.180
231114, 91888,5,5,  2,  0.562
231114,178753,5,5,  1,  0.377
231114,233051,5,5,  1,  0.391
231115,142043,5,5,  1,  0.319
231115,186790,5,5,  1,  0.224
231116, 88859,5,5,  1,  1.138
231117,150718,5,5,  1,  0.163
231118,144249,5,5,  1,  0.182
231118,188659,5,5,  1,  0.197
231118,230069,5,5,  1,  0.273
231119, 21766,5,5,  5,  1.514
231120, 37603,5,5,  1,  0.109
231120, 46344,5,5,  1,  0.383
231121, 17058,5,5,  7,  5.567
231121, 67582,5,5,  5,  6.231
231122, 90746,5,5,  1,  0.177
231123,221514,5,5,  1,  0.293
231124, 91958,5,5,  1,  0.605
231125,221124,5,5,  4,  0.823
231126,231127,5,5,  1,  0.372
231127, 76069,5,5,  1,  0.179
231127,200509,5,5,  1,  0.292
231128, 51859,5,5,  1,  0.099
231128, 76237,5,5,  1,  0.256
231128,153893,5,5,  1,  0.044
231129, 93891,5,5,  5,  4.049
231129,135346,5,5,  1,  0.348
231129,163149,5,5,  3,  3.664
231129,176566,5,5,  2,  0.317
231129,233438,5,5,  4,  3.649
231129,238341,5,5,  1,  0.184
231130,110989,5,5,  2,  0.254
231131,240905,5,5,  1,  0.431
231132, 59580,5,5,  1,  0.723
231132,246550,5,5,  1,  0.586
231133,115636,5,5,  1,  0.472
231134,184328,5,5,  1,  0.450
231135, 73786,5,5,  5,  0.842
231136,118533,5,5,  1,  0.514
231136,189424,5,5,  1,  0.270
231136,215135,5,5,  1,  0.192
231136,253252,5,5,  1,  0.081
231137,239278,5,5,  1,  0.433
231138,  7032,5,5,  1,  0.346
231139,181081,5,5,  1,  0.377
231139,223221,5,5,  1,  0.305
231139,259216,5,5,  1,  0.221
231140, 96586,5,5,  1,  0.165
231141,152023,5,5,  2,  1.897
231141,170741,5,5,  3,  1.899
231143,256718,5,5,  1,  0.469
231144,240948,5,5,  1,  0.313
231145, 34626,5,5,  1,  0.287
231146,231147,5,5,  1,  0.328
231147,  7264,5,5,  1,  0.120
231148,158645,5,5,  1,  0.415
231149,240939,5,5,  1,  0.162
231150,147146,5,5,  1,  0.324
231150,147148,5,5,  1,  0.357
231151,  3422,5,5,  1,  0.469
231152,231159,5,5,  1,  0.382
231153, 76995,5,5,  1,  0.387
231154,188318,5,5,  1,  0.246
231155, 63014,5,5,  1,  0.245
231156,231152,5,5,  1,  0.474
231157, 89169,5,5,  1,  0.206
231157,141411,5,5,  1,  0.207
231158,135039,5,5,  1,  0.250
231159,200005,5,5,  1,  0.884
231160,161150,5,5,  1,  0.483
231161,234991,5,5,  1,  0.641
231162,239285,5,5,  1,  0.233
231163,229433,5,5,  1,  0.416
231163,232841,5,5,  1,  0.636
231164,203902,5,5,  3,  1.429
231165,168125,5,5,  1,  0.167
231165,225862,5,5,  1,  0.300
231166, 77116,5,5,  1,  0.049
231167, 20497,5,5,  1,  0.342
231168,221575,5,5,  1,  0.698
231169, 91435,5,5,  7,  5.209
231170, 20862,5,5,  3,  3.443
231170,231172,5,5,  1,  0.199
231170,254642,5,5,  3,  3.944
231171,210814,5,5,  3,  2.696
231171,231173,5,5,  1,  0.211
231171,253741,5,5,  3,  2.259
231172, 20862,5,5,  3,  3.252
231172, 28645,5,5,  3,  2.931
231173,253741,5,5,  2,  2.053
231174,176268,5,5,  1,  0.377
231175, 62652,5,5,  7,  5.219
231175,151481,5,5, 30, 14.781
231176,186866,5,5,  1,  0.254
231177,196539,5,5,  1,  0.114
231177,231176,5,5,  1,  0.184
231178,156519,5,5,  1,  0.363
231179,191975,5,5,  1,  0.140
231180,213661,5,5,  1,  0.325
231181,223263,5,5,  1,  0.294
231182,223262,5,5,  1,  0.287
231183,133182,5,5,  9,  1.128
231183,250316,5,5,  2,  0.516
231184, 83584,5,5,  5,  6.239
231184,183804,5,5,  1,  1.571
231185,231186,5,5,  1,  0.301
231186,162974,5,5,  1,  0.279
231187,118667,5,5,  1,  0.271
231188,221595,5,5,  1,  0.145
231188,231195,5,5,  1,  0.439
231189,140339,5,5,  1,  0.228
231190,250903,5,5,  1,  0.175
231191,231192,5,5,  1,  0.723
231191,255096,5,5,  1,  0.540
